GEO_NAME,PC1,PC2,PC3
Nelson,-1.8565244476209177,-0.09794483149849686,0.19479283315505716
New Glasgow,-1.7021178238403067,0.0994440893446367,-0.20993574335476473
Norfolk,-1.3987241582161494,-0.2608618624879812,0.3456578239206321
North Battleford,-1.888174991279572,-0.22573275556013758,0.2355705273217231
North Bay,-1.3469036808896344,-0.24677817096820337,0.3089158298273085
Okotoks,-1.809606333007777,-0.33031219398174216,0.28950766472592726
Orillia,-1.7415636277433322,-0.252672619333085,0.29334073913951786
Oshawa,1.919514155845179,-0.5892781533862755,0.20199203049583273
Ottawa - Gatineau,13.14640057185187,-0.8372456952629825,-1.2929438841239176
Ottawa - Gatineau (Ontario part),9.507851190954643,-1.1573558290327377,-1.304895586814568
Ottawa - Gatineau (Quebec part),1.5430757132670458,-0.054238971439399056,0.40313145254598987
