GEO_NAME,0 to 4 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,5 to 9 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,High (secondary) school diploma or equivalency certificate,"No certificate, diploma or degree","Postsecondary certificate, diploma or degree",Immigrants,Non-immigrants,Non-permanent residents,Married or living common-law,Not married and not living common-law,With children,Without children,Apartment in a building that has fewer than five storeys,Apartment in a building that has five or more storeys,Apartment or flat in a duplex,Movable dwelling,Other single-attached house,Row house,Semi-detached house,Single-detached house,"$10,000 to $19,999","$100,000 and over","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","Under $10,000 (including loss)",k3_seg,k3_2_seg,k3mix
St. John's,-0.027914725,-0.000833715,0.00100416,0.02202581,-0.006869166,0.005573872,0.016126297,0.026401684,0.035377158,-0.014119831,0.039030827,0.028929538,0.027455461,0.041931936,0.03571443,0.028570525,-0.011890446,-0.077075009,0.02139938,-0.035628586,0.029511658,-0.164554867,0.136848804,-0.055677995,0.020467346,0.015464551,0.005633589,0.051584075,-0.138836038,-0.167416182,0.903915678,-0.500043424,-0.019213524,-0.00476835,-0.016668927,0.110145041,0.012895436,0.020769239,0.015094021,0.027472073,0.039871137,0.023136742,0.017317869,0.019096931,0.028058619,0.050067348,-0.018843522,0,1,1
Steinbach,-0.274505075,-0.277302132,-0.274093318,-0.264781323,-0.26391143,-0.269661323,-0.273714762,-0.274873144,-0.273583405,-0.278135611,-0.275019837,-0.289785707,-0.306550363,-0.313673021,-0.312479327,-0.305055493,-0.293122207,-0.289876214,-0.293912519,-0.272382227,-0.280093713,-0.18940719,-0.334306485,-0.214523899,-0.290804241,-0.279014017,-0.261029377,-0.319056804,-0.22467896,-0.172392093,-0.239923613,-0.485132519,-0.272578669,-0.272633723,-0.244040851,-0.357674429,-0.26609409,-0.273584195,-0.270939178,-0.286269928,-0.293148367,-0.299019003,-0.303008558,-0.30217582,-0.296512405,-0.296966815,-0.254223615,0,7,7
Stratford,-0.266201842,-0.264970447,-0.257416635,-0.256630085,-0.249232224,-0.252927516,-0.256317973,-0.257821941,-0.251596589,-0.270198428,-0.249954233,-0.255244601,-0.263147792,-0.266436165,-0.267200099,-0.264301481,-0.25227492,-0.247830814,-0.262887779,-0.25644566,-0.254532437,-0.191750458,-0.295231902,-0.212788932,-0.264869933,-0.25128028,-0.246732208,-0.280658128,-0.20288115,-0.16286196,-0.218302419,-0.649152478,-0.230351145,-0.243590772,-0.186089511,-0.315949851,-0.245214045,-0.250704021,-0.24954845,-0.259234044,-0.261629137,-0.259701664,-0.264370514,-0.266199028,-0.268201608,-0.267132572,-0.244043893,0,7,7
Strathmore,-0.290798211,-0.281280095,-0.277076139,-0.280152229,-0.27505097,-0.275821007,-0.279197387,-0.277751918,-0.273812434,-0.286212044,-0.273671016,-0.290657406,-0.307035308,-0.314853943,-0.313707833,-0.311636887,-0.301074776,-0.303776938,-0.299914888,-0.288828765,-0.280992709,-0.200028864,-0.336527812,-0.219343253,-0.294877065,-0.282786288,-0.26624992,-0.323895662,-0.235989851,-0.176693303,-0.250082969,-0.425488897,-0.281024174,-0.260569728,-0.238974067,-0.362973605,-0.279505504,-0.264470259,-0.27907368,-0.295386679,-0.304818752,-0.308428281,-0.304713177,-0.300197096,-0.292499851,-0.289086071,-0.259832849,0,7,7
Summerside,-0.290798211,-0.283269076,-0.276669391,-0.268391157,-0.271094871,-0.274897055,-0.279302822,-0.277530474,-0.270491509,-0.287604532,-0.269174943,-0.278998421,-0.293699323,-0.301420962,-0.297737253,-0.295942795,-0.283000755,-0.284556184,-0.293199738,-0.279840541,-0.275021841,-0.200430812,-0.32812314,-0.199680289,-0.289643785,-0.273139334,-0.266190596,-0.312735071,-0.226626531,-0.176102941,-0.23940262,-0.132241092,-0.264133164,-0.250516398,-0.235173979,-0.352941185,-0.267138093,-0.275147674,-0.266781543,-0.27872503,-0.286715871,-0.293754288,-0.300025473,-0.301096516,-0.298295762,-0.296122449,-0.256820482,0,7,7
Swift Current,-0.28453162,-0.28181049,-0.273415404,-0.271302313,-0.267555205,-0.269969308,-0.272871282,-0.275537476,-0.272209229,-0.283009321,-0.270973372,-0.282812108,-0.29539663,-0.304373265,-0.305459292,-0.301005405,-0.283723716,-0.269625777,-0.291286483,-0.280669242,-0.275238177,-0.195496266,-0.328850592,-0.214909447,-0.287195599,-0.276358339,-0.261800594,-0.311798518,-0.227899943,-0.175006554,-0.244612546,-0.385726483,-0.272578669,-0.269282613,-0.257974507,-0.341108074,-0.272197488,-0.261762772,-0.274976301,-0.287370225,-0.292505117,-0.295210486,-0.293917253,-0.292282202,-0.284028904,-0.285990065,-0.255366236,0,7,7
Sylvan Lake,-0.282494978,-0.276373941,-0.274228901,-0.273631238,-0.267451097,-0.268840032,-0.27097345,-0.271994369,-0.271636656,-0.280363593,-0.272434596,-0.288260232,-0.303034513,-0.315149173,-0.318797359,-0.321255846,-0.311196227,-0.31493184,-0.296125893,-0.287681332,-0.277367882,-0.200738686,-0.32988981,-0.221270994,-0.292121919,-0.279426452,-0.263224378,-0.322412786,-0.239061021,-0.174416192,-0.240965598,-0.46028101,-0.272578669,-0.250963213,-0.263674638,-0.350677459,-0.278059962,-0.257148604,-0.278471124,-0.292242972,-0.30178629,-0.304395733,-0.301730093,-0.296599417,-0.290939414,-0.282612603,-0.257443731,0,7,7
Terrace,-0.278265029,-0.278230323,-0.274228901,-0.269788512,-0.260684087,-0.264938899,-0.272344106,-0.27310159,-0.27003345,-0.281199086,-0.264341665,-0.280305971,-0.293820559,-0.304816111,-0.305985794,-0.305561754,-0.299990335,-0.305836304,-0.292224353,-0.279075586,-0.271728729,-0.198882886,-0.324304015,-0.207391255,-0.285967762,-0.273712719,-0.261741269,-0.312188748,-0.237937422,-0.176693303,-0.233150709,0.09639279,-0.196569125,-0.263920837,-0.261457921,-0.340953729,-0.270029176,-0.254631785,-0.274192979,-0.286269928,-0.295078116,-0.295210486,-0.295479821,-0.290663246,-0.282022627,-0.279235142,-0.252769369,0,7,7
Thetford Mines,-0.279675012,-0.271998182,-0.272195159,-0.269089834,-0.263286783,-0.268018741,-0.27118432,-0.26357949,-0.265681893,-0.277857114,-0.261419218,-0.265378112,-0.267997241,-0.267174241,-0.258249553,-0.246835475,-0.235646821,-0.216082248,-0.293537371,-0.250326019,-0.25539778,-0.203167475,-0.303207898,-0.208933449,-0.268119208,-0.257527161,-0.259783566,-0.282999511,-0.206776292,-0.176693303,-0.17870698,-0.505013726,-0.162787106,-0.281570015,-0.26937477,-0.307615225,-0.245214045,-0.270838574,-0.243522893,-0.262849307,-0.268521097,-0.272023337,-0.286814672,-0.29174255,-0.28648102,-0.289930437,-0.253288742,0,7,7
Thompson,-0.279831677,-0.27968891,-0.279109881,-0.274213469,-0.267867528,-0.272741165,-0.281516959,-0.27996636,-0.278851079,-0.282591574,-0.277155472,-0.293054581,-0.312975884,-0.326220311,-0.328449908,-0.326571587,-0.318064355,-0.320080256,-0.3070427,-0.283155347,-0.284992517,-0.197334961,-0.341191302,-0.215873318,-0.300035477,-0.282746051,-0.26897884,-0.335134299,-0.22947298,-0.174078842,-0.252948428,-0.216736222,-0.272578669,-0.266154911,-0.272858184,-0.372594439,-0.282155663,-0.260084893,-0.286786393,-0.300730982,-0.308586357,-0.31055657,-0.309827036,-0.306852803,-0.298072843,-0.291337712,-0.259313475,0,7,7
