GEO_NAME,0,"$10,000 to $19,999","$100,000 and over","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","Under $10,000 (including loss)"
Peterborough,214180.0,13705.0,18770.0,17400.0,14185.0,12505.0,9570.0,7100.0,5380.0,3910.0,3050.0,7575.0
Port Alberni,43580.0,2970.0,2470.0,3770.0,3295.0,2580.0,1960.0,1465.0,1030.0,785.0,525.0,1645.0
Port Hope,29345.0,1745.0,3100.0,2100.0,1805.0,1675.0,1435.0,1090.0,865.0,595.0,475.0,980.0
Portage la Prairie,20710.0,1150.0,1205.0,1705.0,1465.0,1250.0,1090.0,795.0,520.0,415.0,295.0,775.0
Powell River,30480.0,1995.0,1855.0,2695.0,2375.0,1860.0,1440.0,975.0,630.0,470.0,365.0,1195.0
Prince Albert,67855.0,3530.0,5840.0,5060.0,4320.0,3790.0,3180.0,2275.0,1765.0,1420.0,1265.0,2715.0
Prince George,145795.0,7255.0,17530.0,9515.0,8630.0,7785.0,6715.0,5350.0,4470.0,3535.0,2985.0,5595.0
Prince Rupert,21915.0,1180.0,3355.0,1515.0,1220.0,1045.0,880.0,715.0,525.0,485.0,415.0,1010.0
Quesnel,38490.0,2490.0,3560.0,3180.0,2585.0,2005.0,1425.0,1115.0,990.0,750.0,600.0,1685.0
Québec,1367435.0,67285.0,118985.0,94355.0,85525.0,88740.0,78375.0,59310.0,44215.0,34825.0,24790.0,35945.0
Red Deer,159425.0,6985.0,17170.0,12640.0,10165.0,9030.0,7270.0,5615.0,4260.0,3275.0,2775.0,5455.0
Regina,395615.0,17615.0,47585.0,25145.0,22345.0,21325.0,18665.0,15445.0,12505.0,9970.0,8075.0,14305.0
Rimouski,89165.0,5415.0,5550.0,7220.0,6295.0,6100.0,4800.0,3355.0,2340.0,1835.0,1285.0,2500.0
Rivière-du-Loup,48070.0,2915.0,2685.0,3915.0,3420.0,3420.0,2815.0,1960.0,1180.0,890.0,600.0,1300.0
Rouyn-Noranda,67980.0,3825.0,7495.0,5080.0,4035.0,4115.0,3405.0,2610.0,1885.0,1600.0,1170.0,2035.0
Saguenay,266885.0,16330.0,20475.0,20855.0,17060.0,17310.0,14615.0,10330.0,6870.0,5300.0,3400.0,8575.0
Saint John,216440.0,11995.0,17655.0,17195.0,14630.0,13490.0,9695.0,7195.0,5295.0,4215.0,3005.0,8400.0
Saint-Georges,56470.0,3775.0,2775.0,4895.0,3730.0,3970.0,3230.0,2225.0,1495.0,1080.0,625.0,1470.0
Saint-Hyacinthe,96985.0,6075.0,4850.0,8920.0,6915.0,6680.0,5260.0,3625.0,2270.0,1685.0,1070.0,2670.0
Sainte-Agathe-des-Monts,33440.0,2210.0,1845.0,3415.0,2570.0,2170.0,1550.0,1115.0,730.0,560.0,295.0,940.0
Sainte-Marie,20610.0,1125.0,1270.0,1595.0,1290.0,1410.0,1295.0,880.0,690.0,485.0,280.0,490.0
Salaberry-de-Valleyfield,69925.0,4585.0,3170.0,6510.0,5145.0,4755.0,3600.0,2465.0,1680.0,1260.0,830.0,1940.0
Salmon Arm,32090.0,2080.0,2455.0,2700.0,2200.0,1890.0,1440.0,1075.0,840.0,590.0,445.0,1155.0
Sarnia,162870.0,9540.0,19715.0,11365.0,10025.0,8745.0,7165.0,5685.0,4395.0,3195.0,2700.0,6245.0
Saskatoon,502395.0,24655.0,56570.0,34600.0,30315.0,27005.0,22565.0,18375.0,14760.0,11700.0,9225.0,19030.0
Sault Ste. Marie,128740.0,7880.0,10505.0,9595.0,8945.0,7760.0,5745.0,4350.0,3415.0,2905.0,2370.0,4140.0
Sept-Îles,44395.0,2265.0,6110.0,3015.0,2640.0,2540.0,2225.0,1670.0,1185.0,885.0,725.0,1425.0
Shawinigan,82700.0,6105.0,3090.0,8415.0,6175.0,5775.0,4175.0,2535.0,1635.0,1080.0,765.0,2515.0
Sherbrooke,368330.0,23315.0,23855.0,32535.0,25020.0,23715.0,18275.0,12995.0,9320.0,7045.0,4795.0,11185.0
Sorel-Tracy,70375.0,4980.0,4560.0,6620.0,4975.0,4280.0,3140.0,2145.0,1580.0,1415.0,975.0,2215.0
Squamish,38835.0,1610.0,5950.0,2170.0,2200.0,2075.0,1885.0,1510.0,1325.0,1045.0,895.0,1330.0
St. Catharines - Niagara,725530.0,45315.0,54950.0,60785.0,53525.0,42760.0,32500.0,23745.0,16965.0,12180.0,9960.0,25760.0
St. John's,354555.0,19270.0,39960.0,26135.0,21860.0,19920.0,15670.0,12150.0,9510.0,7710.0,6455.0,12495.0
Steinbach,27580.0,1900.0,1365.0,2400.0,1900.0,1800.0,1290.0,875.0,580.0,430.0,290.0,1165.0
Stratford,55435.0,3200.0,4365.0,4175.0,3620.0,3515.0,3045.0,2235.0,1580.0,1065.0,820.0,1655.0
Strathmore,22555.0,1065.0,2560.0,1725.0,1320.0,1165.0,870.0,815.0,635.0,520.0,430.0,895.0
Summerside,29955.0,1835.0,1160.0,2745.0,2380.0,2150.0,1525.0,980.0,610.0,390.0,305.0,1040.0
Swift Current,29880.0,1520.0,2915.0,2065.0,1830.0,1835.0,1460.0,1195.0,855.0,710.0,485.0,1110.0
Sylvan Lake,25875.0,1155.0,3520.0,1775.0,1520.0,1330.0,1050.0,920.0,735.0,555.0,545.0,1010.0
Terrace,31665.0,1655.0,3850.0,2130.0,1900.0,1695.0,1460.0,1140.0,900.0,755.0,605.0,1235.0
Thetford Mines,45180.0,3200.0,1725.0,4675.0,3390.0,3140.0,2495.0,1445.0,870.0,655.0,415.0,1210.0
Thompson,19050.0,900.0,3135.0,1085.0,980.0,960.0,775.0,635.0,450.0,395.0,390.0,920.0
Thunder Bay,206650.0,11245.0,19535.0,14650.0,13210.0,12125.0,10105.0,8065.0,6145.0,4455.0,3570.0,6620.0
Tillsonburg,31340.0,1990.0,1970.0,2720.0,2045.0,1955.0,1660.0,1200.0,870.0,500.0,370.0,995.0
Timmins,67315.0,3945.0,8855.0,4805.0,3830.0,3445.0,2940.0,2410.0,1810.0,1360.0,1230.0,2435.0
Toronto,10358255.0,614440.0,1309565.0,794350.0,588250.0,477560.0,389850.0,309625.0,248620.0,202345.0,166190.0,481940.0
Trail,23785.0,1270.0,2645.0,1750.0,1665.0,1470.0,1175.0,715.0,555.0,395.0,420.0,860.0
Trois-Rivières,264070.0,16945.0,17035.0,23395.0,18320.0,17305.0,13600.0,9140.0,6375.0,4705.0,3230.0,7890.0
Truro,77350.0,5195.0,4145.0,7010.0,5515.0,4920.0,3475.0,2450.0,1710.0,1340.0,915.0,2920.0
Val-d'Or,54665.0,3010.0,6525.0,4140.0,3290.0,3185.0,2685.0,2035.0,1435.0,1240.0,865.0,1690.0
Vancouver,4470915.0,248480.0,525040.0,325665.0,260250.0,222385.0,184935.0,146880.0,115620.0,91245.0,72940.0,229760.0
Vernon,112165.0,6755.0,10110.0,9000.0,7700.0,6510.0,5150.0,3860.0,2880.0,2145.0,1720.0,4050.0
Victoria,675755.0,32470.0,75760.0,46350.0,40875.0,37875.0,32780.0,26745.0,21285.0,16590.0,12720.0,24290.0
