GEO_NAME,0,Apartment in a building that has fewer than five storeys,Apartment in a building that has five or more storeys,Apartment or flat in a duplex,Movable dwelling,Other single-attached house,Row house,Semi-detached house,Single-detached house
Ottawa - Gatineau,604725.0,87770.0,84155.0,16795.0,1480.0,845.0,98330.0,43225.0,272125.0
Ottawa - Gatineau (Ontario part),453580.0,47530.0,77160.0,8440.0,1210.0,570.0,89915.0,24265.0,204485.0
Ottawa - Gatineau (Quebec part),151145.0,40240.0,6995.0,8355.0,270.0,275.0,8405.0,18960.0,67640.0
Owen Sound,14390.0,2770.0,735.0,290.0,165.0,30.0,725.0,435.0,9240.0
Parksville,14765.0,1335.0,70.0,220.0,490.0,25.0,1170.0,850.0,10610.0
Pembroke,10260.0,1835.0,0.0,245.0,5.0,25.0,310.0,590.0,7245.0
Penticton,21920.0,5210.0,1210.0,945.0,1220.0,135.0,1970.0,720.0,10525.0
Petawawa,6765.0,635.0,0.0,45.0,5.0,15.0,840.0,455.0,4760.0
Peterborough,53370.0,6785.0,2590.0,2745.0,175.0,100.0,3195.0,875.0,36900.0
Port Alberni,11715.0,1310.0,140.0,435.0,495.0,20.0,515.0,305.0,8495.0
Port Hope,7320.0,770.0,450.0,90.0,5.0,15.0,425.0,270.0,5285.0
Portage la Prairie,5645.0,795.0,255.0,40.0,80.0,5.0,345.0,140.0,3975.0
Powell River,8195.0,950.0,20.0,320.0,340.0,30.0,105.0,255.0,6160.0
Prince Albert,17060.0,3145.0,625.0,310.0,260.0,15.0,490.0,485.0,11735.0
Prince George,36800.0,4740.0,575.0,2505.0,2855.0,40.0,1850.0,1300.0,22935.0
Prince Rupert,5495.0,905.0,60.0,635.0,100.0,15.0,310.0,230.0,3245.0
Quesnel,10155.0,1065.0,0.0,205.0,1165.0,40.0,300.0,210.0,7170.0
Québec,387955.0,145325.0,26870.0,22840.0,2815.0,1325.0,9380.0,22600.0,156805.0
Red Deer,40515.0,8495.0,590.0,1480.0,1045.0,30.0,4075.0,3275.0,21515.0
Regina,100215.0,18660.0,4395.0,2220.0,495.0,45.0,6195.0,2715.0,65495.0
Rimouski,25620.0,7360.0,490.0,1195.0,220.0,130.0,635.0,2280.0,13310.0
Rivière-du-Loup,13735.0,4315.0,45.0,680.0,140.0,115.0,185.0,820.0,7425.0
Rouyn-Noranda,19285.0,5655.0,55.0,1680.0,230.0,140.0,110.0,1115.0,10295.0
Saguenay,74810.0,17870.0,1050.0,9325.0,445.0,240.0,1660.0,5755.0,38465.0
Saint John,55865.0,11265.0,2155.0,3860.0,1760.0,130.0,2325.0,1270.0,33095.0
Saint-Georges,16135.0,3865.0,315.0,700.0,45.0,120.0,230.0,1745.0,9125.0
Saint-Hyacinthe,27960.0,12890.0,145.0,2310.0,95.0,205.0,645.0,1565.0,10100.0
Sainte-Agathe-des-Monts,9670.0,1590.0,5.0,1570.0,160.0,35.0,220.0,185.0,5900.0
Sainte-Marie,5500.0,1095.0,5.0,150.0,70.0,10.0,125.0,850.0,3200.0
Salaberry-de-Valleyfield,20075.0,6535.0,0.0,2700.0,0.0,60.0,390.0,1235.0,9150.0
Salmon Arm,8215.0,1105.0,0.0,680.0,420.0,30.0,605.0,225.0,5155.0
Sarnia,42580.0,3190.0,3985.0,800.0,45.0,75.0,2170.0,1375.0,30940.0
Saskatoon,125100.0,26055.0,4720.0,6800.0,945.0,55.0,8260.0,4605.0,73655.0
Sault Ste. Marie,34415.0,4970.0,2060.0,1450.0,80.0,95.0,945.0,1825.0,22990.0
Sept-Îles,12295.0,2945.0,175.0,510.0,1360.0,20.0,470.0,540.0,6265.0
Shawinigan,25060.0,8815.0,15.0,2420.0,90.0,300.0,220.0,700.0,12495.0
Sherbrooke,104650.0,41950.0,2480.0,6015.0,570.0,365.0,2800.0,4895.0,45580.0
Sorel-Tracy,20305.0,5430.0,150.0,1770.0,55.0,95.0,375.0,1105.0,11330.0
Squamish,9310.0,1660.0,635.0,610.0,370.0,20.0,1355.0,845.0,3810.0
St. Catharines - Niagara,179220.0,20980.0,10430.0,6415.0,555.0,580.0,12395.0,9680.0,118200.0
St. John's,90000.0,7225.0,550.0,22210.0,150.0,155.0,6285.0,4210.0,49215.0
Steinbach,6835.0,1495.0,255.0,255.0,165.0,5.0,290.0,620.0,3750.0
Stratford,14745.0,2950.0,820.0,670.0,0.0,30.0,940.0,1535.0,7805.0
Strathmore,5520.0,740.0,0.0,60.0,225.0,0.0,560.0,700.0,3235.0
Summerside,7950.0,1365.0,35.0,265.0,520.0,10.0,785.0,760.0,4210.0
Swift Current,7950.0,1280.0,100.0,165.0,265.0,5.0,365.0,400.0,5360.0
Sylvan Lake,6620.0,535.0,135.0,235.0,190.0,5.0,775.0,310.0,4430.0
Terrace,8000.0,610.0,0.0,385.0,750.0,50.0,485.0,345.0,5375.0
Thetford Mines,13260.0,2690.0,0.0,1430.0,145.0,70.0,90.0,220.0,8615.0
Thompson,4680.0,1175.0,155.0,5.0,435.0,5.0,435.0,165.0,2300.0
Thunder Bay,54215.0,7925.0,2575.0,2440.0,400.0,120.0,1495.0,2100.0,37165.0
Tillsonburg,8230.0,1135.0,495.0,205.0,10.0,25.0,495.0,285.0,5575.0
Timmins,17885.0,2480.0,510.0,1100.0,265.0,85.0,605.0,1185.0,11650.0
Toronto,2262470.0,215325.0,694735.0,90500.0,635.0,3470.0,210100.0,164580.0,883125.0
Trail,6515.0,780.0,0.0,225.0,95.0,15.0,200.0,240.0,4950.0
Trois-Rivières,76635.0,27535.0,1115.0,5215.0,265.0,365.0,1975.0,5115.0,35045.0
Truro,20695.0,3720.0,5.0,1055.0,1250.0,65.0,230.0,655.0,13715.0
Val-d'Or,15375.0,4350.0,225.0,1595.0,220.0,40.0,295.0,620.0,8030.0
Vancouver,1043315.0,255555.0,197280.0,167855.0,4525.0,1340.0,105965.0,22030.0,288775.0
Vernon,28720.0,4905.0,350.0,2205.0,1005.0,100.0,2200.0,1680.0,16285.0
Victoria,176675.0,47460.0,14650.0,27125.0,2110.0,305.0,11320.0,6445.0,67260.0
Victoriaville,23910.0,7685.0,5.0,1290.0,70.0,35.0,195.0,2420.0,12215.0
Wasaga Beach,10810.0,510.0,0.0,140.0,35.0,25.0,910.0,255.0,8930.0
Wetaskiwin,5185.0,980.0,0.0,170.0,165.0,10.0,445.0,405.0,3015.0
Weyburn,5090.0,1055.0,115.0,55.0,135.0,5.0,110.0,140.0,3480.0
Whitehorse,13185.0,1830.0,55.0,650.0,1230.0,90.0,1155.0,1060.0,7110.0
Williams Lake,10045.0,970.0,0.0,570.0,1285.0,25.0,385.0,270.0,6530.0
Windsor,165665.0,13905.0,14110.0,4665.0,745.0,160.0,9230.0,7490.0,115360.0
Winkler,11365.0,845.0,350.0,60.0,440.0,10.0,1025.0,690.0,7945.0
Winnipeg,330325.0,57665.0,41290.0,5600.0,1655.0,310.0,12290.0,12395.0,199120.0
Wood Buffalo,26480.0,5645.0,845.0,470.0,2605.0,5.0,2755.0,1235.0,12915.0
Woodstock,18885.0,2285.0,1680.0,390.0,0.0,25.0,2200.0,1455.0,10855.0
Yellowknife,7520.0,1940.0,295.0,305.0,545.0,20.0,885.0,195.0,3330.0
Yorkton,8425.0,1345.0,0.0,60.0,195.0,5.0,235.0,280.0,6310.0
