GEO_NAME,0 to 4 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,High (secondary) school diploma or equivalency certificate,"No certificate, diploma or degree","Postsecondary certificate, diploma or degree","Under $10,000 (including loss)","$10,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 and over",Immigrants,Non-immigrants,Non-permanent residents,Married or living common-law,Not married and not living common-law,With children,Without children,Apartment in a building that has fewer than five storeys,Apartment in a building that has five or more storeys,Apartment or flat in a duplex,Movable dwelling,Other single-attached house,Row house,Semi-detached house,Single-detached house
Granby,4215,5005,5225,4535,3965,4525,4915,5235,5755,5100,5355,7185,7900,6865,5870,4150,2565,4945,18840,15680,130535,4240,8915,12740,10290,9865,7855,5595,3875,2710,1785,9550,10465,83155,670,109330,64690,8565,13065,14470,520,2575,815,505,580,3125,18520
Grand Falls-Windsor,545,625,760,725,675,620,680,755,850,890,990,1090,1180,1080,910,640,505,665,3300,2390,19220,1005,1625,2100,1675,1460,955,645,425,280,365,1550,610,13250,100,15570,9510,1425,2095,495,0,750,5,20,540,370,3950
Grande Prairie,4680,4790,4505,3800,4115,5330,6050,6080,4860,4150,3335,3480,3045,2295,1405,900,600,1440,16530,8750,77625,3325,3490,6205,5805,4905,4360,3730,3015,2540,2310,14635,21575,53815,1000,64460,43180,7805,6140,4580,160,1105,835,5,1085,1755,15280
Greater Sudbury / Grand Sudbury,7740,9215,9385,9040,10675,10990,10585,10490,10410,10565,10870,13300,12630,10680,8890,6215,4440,8950,38035,24465,246560,9520,15515,18680,16605,16035,13620,10715,8060,5960,4930,34605,22740,154070,3560,182525,125415,18210,21820,12130,4790,4485,590,135,2935,3295,45025
Guelph,8345,9245,9345,9795,11725,12035,11945,11520,10565,10680,10760,11435,10235,8355,7165,4995,3495,7890,37235,19065,246905,10190,14700,18315,15420,14320,13135,10475,7690,6050,4870,32970,84675,123670,2715,173990,117850,20680,18195,7950,6510,3720,65,60,8935,2600,34325
Halifax,21030,24120,24195,23330,33365,36205,34790,32335,29970,29485,30110,34180,31710,26525,22415,14655,9035,16480,100050,48640,756785,30610,42110,57700,49810,44225,35475,27905,21980,18695,13835,71775,128070,392615,17040,496255,346310,49670,59965,41235,28325,6715,4800,215,7545,12855,99440
Hamilton,39045,42585,44180,44550,47580,51275,53585,52920,49540,49325,51860,56825,52270,43570,38015,27110,19310,43255,176420,100565,1146710,50305,73075,93210,76555,66850,55270,44940,35430,27630,22535,153865,442050,561180,14410,799890,577605,97895,82980,25560,49645,8300,160,555,43785,10110,169265
Hawkesbury,430,475,565,540,470,635,555,550,550,660,750,1015,1070,1150,925,780,425,905,3460,2760,12895,625,1605,2210,1545,1250,875,590,435,245,180,730,1455,10980,35,12110,10765,845,1685,1725,0,925,5,35,315,740,2245
Hawkesbury (Ontario part),335,390,465,450,390,530,440,465,445,570,645,900,920,1005,795,660,375,830,2940,2390,10690,525,1405,1890,1300,1040,735,495,370,205,145,645,1360,9215,35,10190,9265,695,1440,1470,0,810,0,30,265,680,1815
Hawkesbury (Quebec part),90,80,100,85,85,110,120,80,105,90,105,120,150,140,130,120,50,75,520,370,2205,105,200,325,245,215,140,95,70,45,30,80,80,1770,0,1920,1515,155,245,250,0,110,5,5,50,55,425
High River,675,800,970,940,620,630,730,865,975,855,805,920,1000,945,985,735,470,795,4010,1825,18745,880,1185,1925,1445,1270,1060,990,645,495,360,1850,6885,11315,150,15395,9350,1530,1985,725,0,105,275,5,730,1035,2910
Ingersoll,790,790,920,780,750,835,895,970,820,865,885,1040,1010,745,605,405,270,620,3805,2085,16200,760,1155,1465,1355,1400,1220,895,735,490,360,1715,2220,12485,30,14970,8820,1665,1695,625,65,80,0,10,385,405,3895
Joliette,2380,2550,2710,2330,2405,2855,2960,2940,3005,2690,2795,3655,4265,4130,3710,3080,2075,4330,10245,9865,75095,2425,5620,8090,6020,5615,4170,2885,2055,1680,965,4565,5085,47725,320,58455,42940,4365,7135,9810,210,1925,55,165,515,730,11155
Kamloops,5055,5835,6080,5890,6940,7680,7745,7800,6715,6630,7135,8015,8500,7355,6390,4345,3010,6050,31440,12535,159290,7295,10220,13530,11625,10165,8700,6695,5035,4095,3185,21140,24255,96970,2750,123880,82595,11625,15515,7350,855,4060,2190,85,4215,3360,24995
Kawartha Lakes,3395,3530,3610,3420,3655,4060,4275,4215,3900,3955,4810,6770,7295,6995,5950,4215,2600,5195,22385,11660,103385,4770,8700,10900,8605,7750,6205,4540,3445,2500,1965,11125,12635,70930,195,93090,52595,8195,12655,2220,730,840,230,80,650,555,27395
Kelowna,8985,10515,11110,11075,13605,14435,14715,14765,13185,12870,13620,16125,17005,15050,13115,9065,6405,13045,58105,22700,339515,13860,20960,28835,24570,21275,17455,13265,10190,7780,5855,39180,70750,182660,4290,247410,157450,22265,32970,21395,2585,9045,4235,175,5955,4605,46335
Kenora,695,770,825,745,790,960,1000,890,915,875,890,1165,1260,1025,845,505,375,865,3845,2060,20195,755,1245,1505,1395,1330,1385,1105,885,645,460,2675,1415,13855,115,16045,11025,1520,1995,715,160,245,90,15,85,175,5020
Kentville,1095,1340,1410,1415,1460,1405,1525,1460,1615,1625,1875,2170,2255,1975,1740,1170,710,1375,6150,4050,39485,1915,3060,4125,3235,2815,1995,1340,1025,790,540,2340,3280,24830,370,29655,19285,2670,3940,1835,10,555,395,30,100,850,8160
Kingston,7635,8365,8810,9225,11755,12155,11685,10835,10110,9550,10595,12720,12145,10990,9710,6840,4675,9495,41760,16880,261260,10320,16470,19995,17770,15570,13050,10830,8410,6265,5050,29560,45040,144460,3320,181660,131385,17545,22605,9925,9880,2395,315,145,4605,4580,41665
Kitchener - Cambridge - Waterloo,30730,33275,34590,34735,41905,45370,43105,40825,37315,36335,36440,37915,33595,27730,23265,16090,11070,23110,130950,74680,816065,37945,52140,66200,55525,50035,43130,33670,25610,19165,15225,100930,337740,399245,22250,588240,409645,72385,60515,29035,28685,6240,250,300,25590,12905,116045
Lachute,670,640,690,650,605,745,790,725,770,680,795,1180,1185,1115,920,855,515,1150,2975,3410,17280,680,1685,2405,1760,1400,1065,745,425,325,210,810,695,13030,15,14795,12190,1120,1810,2255,0,675,5,60,115,195,3225
Lacombe,750,900,980,875,760,725,860,930,850,790,740,890,830,755,630,445,315,745,3145,1810,17575,835,1080,1595,1205,1020,905,785,635,465,390,2220,3830,11410,100,13770,8610,1565,1595,695,0,110,365,15,255,460,3285
Ladysmith,600,760,795,730,575,645,735,865,805,755,970,1210,1405,1515,1340,845,500,925,4005,2025,22605,1205,1560,2055,1755,1525,1170,900,665,525,385,2120,3520,13440,80,18545,9860,1480,2660,395,0,210,325,40,255,280,4995
Lethbridge,7450,8005,8090,7380,9255,8915,8835,8550,7725,6920,6545,7245,7560,6675,5480,3805,2595,5605,30820,15915,159945,6835,9465,15985,12280,10605,8820,7180,5665,4085,3295,18295,41445,101375,1735,125055,85015,13555,14540,5625,825,3105,1295,20,2725,2750,32300
Lloydminster,2545,2790,2815,2485,2155,2280,2850,3120,2870,2375,2050,2085,1880,1485,1055,675,465,1040,9120,4975,44245,2095,2340,3445,3325,3070,2580,2040,1675,1250,1075,7000,12150,31030,270,36285,23350,4675,3485,2385,105,110,435,5,1095,335,9420
Lloydminster (Alberta part),1295,1420,1465,1345,1040,1075,1435,1595,1545,1310,1185,1205,1085,890,660,440,320,855,4615,2510,25500,1105,1225,1905,1735,1495,1270,1070,880,685,605,4665,5445,16905,185,19740,12770,2505,1955,1570,40,65,205,0,325,215,5225
Lloydminster (Saskatchewan part),1250,1365,1355,1135,1120,1205,1415,1525,1330,1065,865,875,800,595,395,235,145,195,4505,2465,18740,995,1115,1545,1590,1570,1315,970,790,565,470,2330,6690,14120,90,16565,10580,2170,1525,815,70,40,230,5,770,120,4200
London,27030,30720,31965,30980,36875,39980,37535,36210,33440,32250,33100,37505,35720,30440,26330,18090,12260,26235,124310,66745,788290,34800,53035,67010,56225,50220,41540,31550,23320,16655,12690,79965,265745,400620,19560,545485,406905,61625,60840,22505,38340,5250,585,240,24860,8205,122265
Matane,645,820,905,845,845,740,865,925,1090,1015,970,1495,1830,1720,1545,1060,605,1110,3470,3995,27780,975,2265,3085,2180,2130,1560,1015,685,515,320,1385,500,17520,290,22495,14125,1535,2905,1995,10,570,195,40,100,395,5860
Medicine Hat,3770,4580,4950,4430,4095,4015,4780,5280,5205,4560,4545,5240,5680,5100,3835,2610,1770,3870,20130,11510,95800,4455,5945,10125,8070,6795,5280,4390,3225,2385,2010,12670,17210,66665,700,80680,51570,7965,10225,5365,230,500,1175,30,1755,1630,21370
Midland,1075,1215,1195,1250,1300,1545,1680,1555,1365,1515,1540,2240,2460,2315,2010,1445,955,2460,7670,4310,34260,1550,3185,4210,3280,2575,2115,1555,1145,705,550,2865,4840,24020,80,29150,22540,2525,3865,1620,535,770,5,80,540,470,7805
Miramichi,1020,1305,1365,1355,1385,1320,1325,1385,1520,1860,1990,2260,2315,2335,2015,1245,855,1470,7540,3855,37930,1715,2925,4235,3490,2960,2155,1545,1110,895,610,2095,2065,26065,110,29305,20735,2680,3975,1460,0,190,850,20,55,415,9315
Moncton,7020,8550,8915,8220,9595,9955,10305,11085,10965,10905,10170,10975,10390,9555,8420,5570,3535,7190,37305,18735,229580,9275,14510,20150,19060,17400,12830,9045,6515,4975,3455,16845,35205,136130,4775,171985,112810,16995,20750,14635,1305,3280,2675,140,2240,6875,36025
Montréal,218830,248540,254360,227955,257910,291650,292510,298010,306385,280350,274265,292705,275775,229190,195680,145490,98200,207860,733660,559410,7012260,258165,393285,557005,438305,400670,323005,242085,182815,146245,103945,644570,2367825,3021825,161680,4523005,3296145,491220,444405,758875,183500,150110,4370,6420,59765,89790,582875
Moose Jaw,1755,2145,2295,2000,1820,1960,2290,2385,2225,1970,1860,2330,2525,2250,1790,1190,915,2315,9525,5025,43345,1995,3025,4230,3570,3280,2420,1955,1480,1140,970,5540,7935,30475,570,34780,25405,3540,4255,2245,640,360,265,80,445,430,10750
Nanaimo,4660,5660,6070,5430,6330,6920,7320,7635,6795,6580,7095,8150,8645,8645,7485,5195,3400,6875,29585,13200,169185,7200,11035,15230,13295,11620,8990,6730,4980,3790,2810,16005,38370,93330,1885,123600,86760,10860,16215,8270,1390,6265,1560,100,1985,2200,27575
Nelson,735,890,1055,910,765,1125,1330,1335,1410,1390,1205,1250,1455,1455,1215,705,425,930,4145,1655,32220,1155,1820,2690,2280,1795,1490,1070,865,615,520,2725,5805,15720,425,20825,14595,1805,2655,1050,0,780,370,120,265,320,5595
New Glasgow,1300,1650,1945,1830,1695,1590,1650,1745,2030,2145,2365,2815,2940,2785,2465,1540,950,1880,8620,5670,46605,2335,3805,5245,3980,3715,2710,1795,1250,885,685,3030,2310,32645,155,35585,26510,3265,4715,1940,10,350,815,20,435,695,11220
Norfolk,3165,3640,3490,3465,3190,3345,3695,3685,3470,3415,4140,5405,5955,5730,4730,3205,1930,3710,17690,11880,83635,4060,7335,8895,7145,6365,5435,4115,3035,2275,1705,8350,14965,58905,245,76565,43920,7265,10030,1890,385,570,130,90,945,770,22815
North Battleford,1220,1290,1310,1275,1085,1095,1255,1300,1205,1085,955,1195,1290,1170,890,640,470,1295,4700,3075,23100,1030,1560,2280,1910,1760,1500,1110,875,625,525,2440,5710,16315,280,17925,14550,1940,2080,1195,150,115,235,35,245,270,5620
North Bay,3115,3580,3735,3720,4100,4225,4440,4420,4015,4205,4485,5935,5870,4870,4145,2835,2090,3900,16385,10105,104100,4070,7690,9350,7570,6730,5460,4425,3225,2300,1760,10540,7310,66260,535,76900,53390,7075,9895,4310,2080,1665,170,70,2105,2215,18575
Okotoks,1650,2215,2710,2490,1490,1165,1620,2135,2400,2405,2030,1790,1800,1515,1270,815,450,870,7455,2935,41375,2015,2120,2810,2365,2020,1765,1550,1255,1065,980,8280,9325,25925,100,32625,16930,4365,3180,955,5,110,110,5,645,515,8140
Orillia,1550,1525,1570,1600,1690,2175,2275,1970,1680,1720,1900,2460,2620,2335,2110,1530,1210,2980,8565,5375,42710,1705,3550,5020,4090,3370,2645,1860,1270,915,650,3460,6710,28970,185,33145,28045,2960,4220,2760,920,905,170,30,1245,360,8035
Oshawa,23510,26210,27125,25290,24420,25525,28640,29950,28225,27620,27570,30260,25535,20145,17280,11715,7865,16845,98955,49265,578320,26440,36915,45570,37380,34185,28760,22985,18935,14755,12555,83320,204780,315710,3880,420560,288325,56650,38710,11200,11415,5425,80,195,15705,7790,97240
Ottawa - Gatineau,74165,86825,90350,85865,95515,101490,101450,101965,97820,96800,97960,107175,97735,80115,67345,45455,29605,61320,283270,154760,2395865,88990,119405,147010,122850,112950,103025,93830,78370,65490,52665,365265,726275,1115495,35160,1554210,1076165,175785,165655,87770,84155,16795,1480,845,98330,43225,272125
Ottawa - Gatineau (Ontario part),55070,64320,67655,66645,75880,78860,77695,77215,72930,73650,74835,81190,73085,60450,52025,35170,23545,49590,220265,104410,1852125,70840,91435,110570,91940,82245,74965,68800,58635,49825,41080,303880,614350,819935,29800,1172180,820265,136265,126175,47530,77160,8440,1210,570,89915,24265,204485
Ottawa - Gatineau (Quebec part),19095,22505,22695,19220,19635,22630,23755,24750,24895,23150,23125,25985,24650,19665,15325,10280,6065,11725,63005,50350,543725,18150,27965,36445,30910,30705,28055,25025,19735,15665,11580,61370,111940,295560,5360,382015,255895,39510,39485,40240,6995,8355,270,275,8405,18960,67640
Owen Sound,1400,1605,1655,1610,1590,1710,1845,1810,1740,1665,1935,2565,2785,2550,2290,1570,1075,2590,8575,4960,42790,1850,3635,4595,3810,3275,2490,1890,1330,865,705,4210,5095,29410,125,35405,23845,3165,4720,2770,735,290,165,30,725,435,9240
Parksville,700,985,970,1000,820,825,920,1135,1160,1270,1455,2185,3040,3605,4075,3100,1965,3690,8285,3050,50925,1655,3415,4855,3955,3405,2590,1905,1425,960,695,4205,11105,24565,125,40050,19500,2130,6955,1335,70,220,490,25,1170,850,10610
Pembroke,1170,1175,1220,1190,1250,1475,1435,1440,1240,1270,1380,1900,1890,1655,1410,1050,755,1795,6470,3515,29945,1290,2600,3115,2575,2165,1900,1480,1070,750,565,2885,2065,22060,50,24855,18025,2340,3160,1835,0,245,5,25,310,590,7245
Penticton,1600,1850,2045,2000,1890,2090,2475,2675,2530,2535,2815,3760,4540,4105,3590,2700,1950,4460,13335,6160,67510,2800,4930,7310,5825,4990,3840,2870,1935,1450,1000,6075,13300,39620,405,52620,35950,3800,7865,5210,1210,945,1220,135,1970,720,10525
Petawawa,1400,1465,1090,915,1365,2020,2050,1595,1125,920,865,925,720,565,505,280,210,320,4800,1600,21825,815,1170,1225,1160,1145,1275,1635,1540,1060,615,2610,2415,16125,100,19720,10820,2360,1955,635,0,45,5,15,840,455,4760
Peterborough,5710,6635,6585,6405,7975,8035,7890,7795,6775,6775,7320,9230,9960,9245,8255,5760,3865,8830,32080,15720,184160,7575,13705,17400,14185,12505,9570,7100,5380,3910,3050,18770,24045,113400,1615,136555,95610,13260,17035,6785,2590,2745,175,100,3195,875,36900
